Comanda,Data,Ora,ThreadName
afiseazaTrimiteri,2020/05/24,10:15:50,main
creareTrimitere,2020/05/25,22:10:20,main
creareTrimitere,2020/05/25,22:10:20,main
creareTrimitere,2020/05/25,22:10:20,main
creareTrimitere,2020/05/25,22:10:20,main
creareTrimitere,2020/05/25,22:10:20,main
creareTrimitere,2020/05/25,22:10:20,main
creareTrimitere,2020/05/25,22:10:20,main
afiseazaTrimiteri,2020/05/25,22:10:20,main
getAllTrimiteriFromDb,2020/05/25,22:12:21,getAllTrimiteriFromDb
creareTrimitere,2020/05/25,22:12:21,main
creareTrimitere,2020/05/25,22:12:21,main
creareTrimitere,2020/05/25,22:12:21,main
creareTrimitere,2020/05/25,22:12:21,main
creareTrimitere,2020/05/25,22:12:21,main
creareTrimitere,2020/05/25,22:12:21,main
creareTrimitere,2020/05/25,22:12:21,main
afiseazaTrimiteri,2020/05/25,22:12:21,main
getAllTrimiteriFromDb,2020/05/25,22:16:21,getAllTrimiteriFromDb
creareTrimitere,2020/05/25,22:16:22,creareTrimitere
creareTrimitere,2020/05/25,22:16:22,creareTrimitere
creareTrimitere,2020/05/25,22:16:22,creareTrimitere
updateScop,2020/05/25,22:16:47,updateScop
modificareScopDb,2020/05/25,22:16:47,modificareScopDb
updateScop,2020/05/25,22:17:00,updateScop
deleteTrimitereMedicalaDb,2020/05/25,22:17:14,deleteTrimitereMedicalaDb
getAllTrimiteriFromDb,2020/05/25,22:18:17,getAllTrimiteriFromDb
creareTrimitere,2020/05/25,22:18:17,creareTrimitere
getAllFromDb,2020/05/25,22:29:44
creareTrimitereDb,2020/05/25,22:29:44,creareTrimitereDb
crearePacient,2020/05/25,22:29:44
creareTrimitereDb,2020/05/25,22:29:44,creareTrimitereDb
creareTrimitereDb,2020/05/25,22:29:44,creareTrimitereDb
creareTrimitereDb,2020/05/25,22:29:44,creareTrimitereDb
getAllFromDb,2020/05/25,22:36:44,getAllFromDb
crearePacient,2020/05/25,22:36:44,crearePacient
deletePacientFromDb,2020/05/25,22:41:42,deletePacientFromDb
adaugaPacientDb,2020/05/25,22:42:36,adaugaPacientDb
getAllFromDb,2020/05/25,22:59:45,getAllFromDb
creareMedic,2020/05/25,22:59:45,creareMedic
afiseazaMedici,2020/05/25,22:59:45,afiseazaMedici
getAllFromDb,2020/05/25,23:00:47,getAllFromDb
creareMedic,2020/05/25,23:00:47,creareMedic
creareMedic,2020/05/25,23:00:47,creareMedic
afiseazaIntervalOrar,2020/05/25,23:00:47,afiseazaIntervalOrar
updateVarstaMedicDb,2020/05/25,23:01:20,updateVarstaMedicDb
getAllFromDb,2020/05/25,23:03:56,getAllFromDb
creareMedic,2020/05/25,23:03:56,creareMedic
afiseazaIntervalOrar,2020/05/25,23:03:56,afiseazaIntervalOrar
getAllFromDb,2020/05/25,23:05:38,getAllFromDb
creareMedic,2020/05/25,23:05:38,creareMedic
afiseazaIntervalOrar,2020/05/25,23:05:38,afiseazaIntervalOrar
getAllFromDb,2020/05/25,23:10:21,getAllFromDb
creareMedic,2020/05/25,23:10:21,creareMedic
getAllFromDb,2020/05/25,23:10:41,getAllFromDb
creareMedic,2020/05/25,23:10:41,creareMedic
getOrarDb,2020/05/25,23:10:41,getOrarDb
afiseazaIntervalOrar,2020/05/25,23:10:41,afiseazaIntervalOrar
